City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puntarenas,9.9763,-84.8384,74.86,91,94,2.48,CR,2022-11-11 07:05:07
1,Avera,33.194,-82.5271,71.11,93,100,16.06,US,2022-11-11 07:06:30
2,Rikitea,-23.1203,-134.9692,73.49,84,100,7.61,PF,2022-11-11 07:02:18
3,Kpandu,6.9954,0.2931,75.9,76,100,2.19,GH,2022-11-11 07:06:30
4,Lavrentiya,65.5833,-171.0,15.1,87,16,11.23,RU,2022-11-11 07:06:31
5,Vaini,-21.2,-175.2,78.3,88,100,12.06,TO,2022-11-11 07:02:16
6,Khatanga,71.9667,102.5,-19.05,100,93,3.76,RU,2022-11-11 07:06:31
7,Cape Town,-33.9258,18.4232,73.11,63,0,8.05,ZA,2022-11-11 07:03:27
8,Tuktoyaktuk,69.4541,-133.0374,21.74,96,100,6.02,CA,2022-11-11 07:02:09
9,Paamiut,61.994,-49.6678,17.51,72,100,5.41,GL,2022-11-11 07:06:32
10,Basoko,1.2391,23.616,70.5,98,100,3.04,CD,2022-11-11 07:06:32
11,Iqaluit,63.7506,-68.5145,-4.31,76,74,8.99,CA,2022-11-11 07:06:33
12,Barrow,71.2906,-156.7887,15.82,86,100,10.36,US,2022-11-11 07:00:09
13,Jamestown,42.097,-79.2353,57.72,62,100,4.0,US,2022-11-11 06:59:58
14,Hithadhoo,-0.6,73.0833,81.46,77,42,13.91,MV,2022-11-11 07:04:41
15,Hermanus,-34.4187,19.2345,69.8,64,30,2.95,ZA,2022-11-11 07:02:16
16,Campoverde,-8.4753,-74.8058,72.3,88,22,0.78,PE,2022-11-11 07:06:34
17,San Quintin,30.4833,-115.95,59.23,61,0,4.65,MX,2022-11-11 07:06:34
18,Hovd,48.0056,91.6419,28.13,38,100,4.83,MN,2022-11-11 07:06:34
19,Bereda,43.2686,-7.5406,43.41,97,7,1.34,ES,2022-11-11 07:02:23
20,Hobart,-42.8794,147.3294,62.22,83,100,19.57,AU,2022-11-11 07:02:17
21,Guanica,17.9716,-66.908,77.97,84,63,4.07,PR,2022-11-11 07:06:35
22,Axim,4.8699,-2.2405,78.71,83,100,8.12,GH,2022-11-11 07:06:35
23,Lebu,-37.6167,-73.65,53.98,96,100,7.18,CL,2022-11-11 07:06:36
24,Ilulissat,69.2167,-51.1,19.42,73,100,12.66,GL,2022-11-11 07:04:46
